date,timestamp,speaker,text
2020-03-02,02:18,Mike Pence,"Good afternoon. We just finished the Monday meeting of the White House coronavirus task force. Since the time the President established the task force here at the White House, it has literally met daily and we continued that effort today. We added the Head of the Center for Medicaid Medicare Services, Seema Verma to the task force today as well as Robert Wilkie with the V.A. First, a few basic facts and reports and then we’ll hear from other members of the task force about ongoing efforts. At the present moment, we have 43 domestic cases of the coronavirus, 48 cases of individuals who’ve returned to the United States. Of the domestic cases, 29 of the 43 are either in California or Washington state and we have communities that are facing what the experts tell us could potentially be a cluster in those communities. Sadly today, there were four additional fatalities, raising the number that six Americans have lost their life to the coronavirus and on behalf of the President and all of the American people, we extend our deepest condolences and sympathies to the families of those that were lost."
2020-03-02,03:43,Mike Pence,"Despite today’s sad news, let’s be clear, the risk to the American people of the coronavirus remains low according to all of the experts that we’re working with across the government. And as the President has said, we’re ready for anything, but this is an all hands on deck effort. Today’s activity really reflects the President’s effort to bring the best minds of private industry together, the best leadership from around the country at every level. We had a good meeting this morning with governors from 50 states and three territories. I was able to convey to them the gratitude that the President and our entire administration feels, particularly for governors that are dealing with the coronavirus in their states, those that have taken repatriated personnel. I can say that what I hear from the nation’s governors is that there has been a seamless relationship between all the agencies that the federal government and states thus far and we’re encouraged to hear that. But I told them that we are committed to a full partnership with state governments and to their health officials and to local healthcare providers going forward."
2020-03-02,05:04,Mike Pence,"We also met today with some of the leaders of the top pharmaceutical companies in the country. The President spoke to them not just about vaccines, which many of the companies are already beginning to work on, but just as importantly, the development of therapeutics and it is remarkable to think that there may well be a vaccine going to clinical trials within the next six weeks. The nature of trials as the experts have explained to us is that the vaccine might yet not be available till late this year or early next. But the therapeutics, giving relief to people that contract the coronavirus could literally be available by this summer or early fall. The most encouraging news from that meeting was that our pharmaceutical companies, which are recognized as the greatest in the world, all have already formed a consortium to work together to share information in the development of therapeutics and vaccines. A quick update, yesterday, we were fully implementing the new travel advisories for portions of Italy and South Korea. And the implementation of screening of personnel from across those countries who are trying to take a direct flight to the United States of America."
2020-03-02,06:27,Mike Pence,"I was pleased in the White House task force meeting today to learn that within the next 12 hours there will be 100% screening all direct flights at all airports across Italy and across South Korea. The President has directed us to bring the full resources of the federal government and to bring the very best minds in this country to bear on this effort. And finally, today I’m pleased to welcome to our White House team, a world-renowned global health official and a physician. She will be my right arm through this effort as the President has tasked me to lead the White House response to the coronavirus and I’m grateful that Ambassador Deborah Birx, also Dr. Deborah Birx will be on our team. And even on her first day, she’s already been contributing significantly to our discussions. Dr. Birx serves as the U.S. government’s leader today for combating HIV/AIDS globally and has developed an international reputation as that. She’s a scientist, a physician, someone with three decades of public health expertise including very virulent diseases, vaccines, and has vast experience in inter agency coordination."
2020-03-02,07:51,Mike Pence,"And Dr. Birx and I have talked about the importance of bringing all of these various entities together to bring about President Trump’s vision for a whole of government response to the coronavirus. And so with that, I’d like to recognize Dr. Deborah Birx for a few introductory and welcome remarks and thank you for stepping up one more time to serve our country."
2020-03-02,08:14,Deborah Birx,"Thank you. Thank you Mr. Vice President. It’s a pleasure to be here. I just arrived from South Africa last night. Everybody took great care of being … I had computer and phone in record time. It really shows the level of efficiency and expertise here to really get moving quickly. It’s clear that the early work of the President, both with travel restrictions and the ability to quarantine has bought us this time and space to have this task force be very effective. I have never worked with such incredible scientists and thoughtful policy leaders and I got to spend the day with them. I’m trying to get up to speed as fast as possible and I look forward to the days ahead really working together to end this epidemic. Thank you."
2020-03-02,08:55,Mike Pence,Great. Secretary Azar.
2020-03-02,08:59,Secretary Azar,"Well, thank you Mr. Vice President. I just want to first start out by saying how delighted we are that Ambassador Birx is going to be leading, coordinating these efforts across the government. Dr. Birx and I go way back, Dr. Birx and basically every leader at the Department of Health and Human Services go way back together, so we already have established relationships and maybe not too way back, right? We already have very established, productive working relationships that I think are going to keep the inter agency process working incredibly smoothly. And as the Vice President said, Dr. Birx already has been asking the right questions and challenging us on all the right scientific and policy matters that we need to focus on. I just want to begin by recapping the current situation that we face with COVID-19. As the Vice President mentioned as of this morning, we have 43 confirmed or presumptive cases of the virus in the United States, excluding our repatriated cases."
2020-03-02,09:57,Secretary Azar,"17 of those cases are travel related in one way or another. 26 are believed to be person to person spread. Because of the President’s strong leadership and all of the hard work that our public health professionals have done at the local, the state, the federal level, the immediate risk to any individual American has been and does continue to be low. But the risk for people with possible exposure to identified cases can be high. What every one of our experts and leaders have been saying for more than a month now remains true. The degree of risk has the potential to change quickly, especially if we see sustained spread of the disease around the world, which could qualify this disease as a pandemic. As Dr. Fauci said this morning, we will see more cases of community spread in the United States. As we’ve emphasized for some time now, we all need to prepare for the potential need, prepare for the worst, hope for the best."
2020-03-02,10:59,Secretary Azar,"In some places we will have to use the range of our mitigation efforts. In fact, we already are working closely with Santa Clara County and the State of Washington and particular King County to assist them in thinking through some of the best practices from our pandemic action plan, as well as learnings from Singapore and Hong Kong around the most effective community mitigation efforts. Such as temporary school closures or even more titrated responses Dr. Schuchat has talked to you about, such as having school but perhaps not having assemblies in school. That’s why the President has taken an unprecedented whole of government approach to protecting the American people, including the steps in the last few days to radically expand and improve the testing that we have and to improve access to respirators needed by healthcare workers. The Vice President, Dr. Schuchat of the C.D.C. and I spoke with basically almost every governor that we have this morning and we greatly appreciate their close cooperation with us. I also wanted to now introduce-"
2020-03-02,12:03,Secretary Azar,"I also wanted to now introduce an individual who I asked the vice president to have join this task force because the Centers for Medicare and Medicaid Services play such a vital role, $1.3 trillion of spending here in the United States, providing healthcare to 60 million American seniors, and as we’ve seen, this disease can have a disproportionate severity impact on the elderly, as well as the medically frail. And so Seema Verma, our administrator, has a very important responsibility with regard to funding of care, whether it’s therapeutics or vaccines or diagnostics for our senior citizens, but also a vital role that you may not know of in regulating long-term care facilities, such as nursing homes and other healthcare facilities. Very important regulatory function, so I’m delighted that Administrator Verma is formally joining the task force."
2020-03-02,13:01,Secretary Azar,And let me turn it over to Seema now. Seema.
2020-03-02,13:05,Seema Verma,"Thank you, Secretary Azar. For the Trump administration and CMS, patients come first, and the health and the safety and welfare of America’s patients and provider workforce is our highest priority. Let me start with what CMS is, and as the secretary said, we are the nation’s largest insurer, covering over 130 million Americans between Medicare, Medicaid, and the individual insurance market. And some of these are our nation’s most vulnerable populations, those in poverty, the elderly, and children, and so forth. Critically, we do have a regulatory responsibility for pretty much every healthcare institution in America. This includes facilities such as hospitals, critical access hospitals, nursing homes, home health agencies, dialysis facilities, surgery centers, and the list goes on."
2020-03-02,13:55,Seema Verma,"And that gives us a very critical role in addressing the coronavirus. We are responsible for enforcing the quality guidelines based in part on information from partner agents like the CDC. And so let me stress that CMS has longstanding infectious disease policies already in place that we have used effectively for other outbreaks, such as influenza. And so healthcare facilities already have these procedures in place and should be prepared for what they may see. And we’re going to continue to proactively update our regulations. We’re going to be working with CDC. Right now, like I said, those are already in place, and it’s our job to make sure that healthcare facilities are effectively implementing those guidelines, and we will work with the CDC to determine whether we need to update or change those."
2020-03-02,14:46,Seema Verma,"Also, we are looking at what we cover in clarifying the types of products and services that our programs will be able to pay for in terms of Medicaid and Medicare. And with that, I’ll turn it over."
2020-03-02,14:58,Mike Pence,That’s very good.
2020-03-02,14:58,Seema Verma,Thank you.
2020-03-02,15:03,Mike Pence,"Thank you, Seema. Thank you for stepping up. I want to recognize a couple other members of our team. Tony Fauci. National Institute of Health. Thank you, doctor."
2020-03-02,15:11,Tony Fauci,"Thank you very much, Mr. Vice President. I just want to make three comments and points. First of all, to underscore what the vice president, and with Secretary Azar said, we had a really extraordinary meeting with the CEOs, a variety of individuals in the pharmaceutical and biotech business, several of whom in the room were people we’re actually already actively collaborating with. And their enthusiasm about getting involved and helping us along with the development of products and the availability of products, be they vaccines, monoclonal antibodies, or therapeutics. It was very gratifying."
2020-03-02,15:46,Tony Fauci,"Second, I’m very pleased that the president and vice president will be visiting the NIH tomorrow. We’re going to have the opportunity to show them firsthand, in real time, the kinds of things that we’re doing. And finally, just one comment about Ambassador Dr. Birx. A couple of people up here have said, you know, I go back a long time with Dr. Birx. Nobody goes back as long as I go with Ambassador Birk. She was actually a fellow in my program as a trainee, and we knew she was a star then, and now what has happened over the years, she’s become a superstar. Together, we saw the first patients with HIV back in the early ’80s. We were involved in a vaccine trial that was the first successful trial with HIV. We’ve known each other through PEPFAR. I had the privilege and the honor, among others, of putting together the PEPFAR program for President Bush, and she was the ambassador in charge of the PEPFAR program, so I can’t tell you how excited I am to finally, once again, get back in being a partner with Debbie Birx."
2020-03-02,16:50,Debbie Birx,Thank you.
